Timestamp,What type of laptop was the student using?,What were they doing,How many screens were they using?
25/03/2025 13:14:21,Macbook,Taking Notes,2
25/03/2025 13:18:31,Ipad,Taking Notes,1
25/03/2025 13:18:49,Windows,Watching Lecture,2
25/03/2025 13:19:28,Macbook,Taking Notes,2
25/03/2025 21:59:55,Ipad,Watching Lecture,1
25/03/2025 22:00:16,Macbook,Assignment,2
25/03/2025 22:00:38,Chromebook,Taking Notes,1
25/03/2025 22:00:51,Macbook,Taking Notes,1
26/03/2025 09:48:35,Macbook,Assignment,2
26/03/2025 09:49:14,Macbook,Taking Notes,2
26/03/2025 09:49:39,Ipad,Watching Lecture,1
26/03/2025 09:54:24,Windows,Watching Lecture,2
26/03/2025 10:04:06,Ipad,Taking Notes,2
26/03/2025 10:29:59,Macbook,Assignment,2
26/03/2025 16:38:17,Macbook,Taking Notes,2
26/03/2025 16:38:31,Macbook,Assignment,2
26/03/2025 16:38:40,Windows,Taking Notes,2
26/03/2025 16:39:11,Macbook,Youtube,1
26/03/2025 17:31:37,Macbook,Taking Notes,1
26/03/2025 17:31:55,Windows,Taking Notes,2
27/03/2025 11:22:20,Macbook and Ipad,Watching Lecture,3
27/03/2025 11:22:34,Macbook,Taking Notes,1
28/03/2025 10:44:49,Macbook,Assignment,2
28/03/2025 10:45:14,Macbook,Watching Lecture,2